business_name	,Open /Closed,Street Number,Street Name 1,Street Name 2,business_phone_number	,website,Facebook,Instagram,long_business_description,"Restaurants, Food & Drink, Grocery / Convenience Stores",Stores & Shopping,"Medical, Health, Wellness & Fitness",Arts & Entertainment,"Automotive, Contractors & Construction Materials",Hair & Nails,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",business_address,zip_code,business_website_address,,,,business_genre,business_contact_email
A ONE AUTO SALES & REPAIR,,2433,Washington Avenue,"Philadelphia, PA 19146",(215) 545-5444,,facebook.com/pages/Aone-Auto-Sales-And-Repair/221063395349133,,Automotive / Car Services,,,,,X,,,2433 Washington Avenue,"Philadelphia, PA 19146",facebook.com/pages/Aone-Auto-Sales-And-Repair/221063395349133,,,,"Automotive, Contractors & Construction Materials",","
Sharon Savings Bank,,1900,South Street,"Philadelphia, PA 19146",(215) 731-0123,sharonbank.com/home/home,facebook.com/pages/Sharon-Savings-Bank/133699133348973,,Bank / Financial Institution,,,,,,,X,1900 South Street,"Philadelphia, PA 19146",sharonbank.com/home/home,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
EARLY CHILDHOOD ENVIRONMENTS DESIGN,,762,S Broad Street,"Philadelphia, PA 19146",(215) 543-6650,ecedesigns.com/,,,Child Care,,,,,,,X,762 S Broad Street,"Philadelphia, PA 19146",ecedesigns.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
MY BRIGHT BEGINNINGS LLC,,1740,South Street,"Philadelphia, PA 19146",(215) 545-1117,mybrightbeginnings.weebly.com,,,Child Care,,,,,,,X,1740 South Street,"Philadelphia, PA 19146",mybrightbeginnings.weebly.com,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
LITTLE SHEPARDS CHRISTIANS LEARNING CENTER INC,,1719,Washington Avenue,"Philadelphia, PA 19146",(215) 772-1825,,facebook.com/pages/Little-Shepards-Christian-Learning-Center/194080560939947,,Child Care,,,,,,,X,1719 Washington Avenue,"Philadelphia, PA 19146",facebook.com/pages/Little-Shepards-Christian-Learning-Center/194080560939947,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
M Concept Clothing Store,,1540,South Street,"Philadelphia, PA 19146",(215) 839-9154,mconceptshop.com,facebook.com/mconceptshop/?ref=br_rs,,Clothing Store,,X,,,,,,1540 South Street,"Philadelphia, PA 19146",mconceptshop.com,,,,Stores & Shopping,","
Sophisticated Seconds,,2204,South Street,"Philadelphia, PA 19146",(215) 546-0784,sophisticatedsecondsphila.com/,facebook.com/Sophisticated-Seconds-Designer-Consignment-215683261796133/,instagram.com/sophisticatedseconds/,Clothing Store,,X,,,,,,2204 South Street,"Philadelphia, PA 19146",sophisticatedsecondsphila.com/,,,,Stores & Shopping,","
Sherwin-Williams Paint Store,,700,S Broad Street,"Philadelphia, PA 19146",(215) 546-2500,sherwin-williams.com/store-locator/paint-store/philadelphia/pa/3842,facebook.com/SherwinWilliamsforYourHome?ref=hl,instagram.com/sherwinwilliams/,Construction / Contractor Supply,,,,,X,,,700 S Broad Street,"Philadelphia, PA 19146",sherwin-williams.com/store-locator/paint-store/philadelphia/pa/3842,,,,"Automotive, Contractors & Construction Materials",","
CONSTRUCTION MALL INC,,1501,Washington Avenue,"Philadelphia, PA 19146",(215) 545-8585,,facebook.com/pages/Construction-Mall/125026134217274,,Construction / Contractor Supply,,,,,X,,,1501 Washington Avenue,"Philadelphia, PA 19146",facebook.com/pages/Construction-Mall/125026134217274,,,,"Automotive, Contractors & Construction Materials",","
"Kerrs Building Materials, Inc.",,1528,Washington Avenue,"Philadelphia, PA 19146",(215) 735-9964,kerrsbuilding.com/,,,Construction / Contractor Supply,,,,,X,,,1528 Washington Avenue,"Philadelphia, PA 19146",kerrsbuilding.com/,,,,"Automotive, Contractors & Construction Materials",","
Marble Works,,1530,Washington Avenue,"Philadelphia, PA 19146",(215) 545-1530,,facebook.com/marbleworkspa/,,Construction / Contractor Supply,,,,,X,,,1530 Washington Avenue,"Philadelphia, PA 19146",facebook.com/marbleworkspa/,,,,"Automotive, Contractors & Construction Materials",","
Daltile,,1551,Washington Avenue,"Philadelphia, PA 19146",(215) 546-8453,locations.daltile.com/pa/philadelphia/57/,facebook.com/daltile/,instagram.com/daltile,Construction / Contractor Supply,,,,,X,,,1551 Washington Avenue,"Philadelphia, PA 19146",locations.daltile.com/pa/philadelphia/57/,,,,"Automotive, Contractors & Construction Materials",","
YR Supply Tile & Vanity,,1551,Washington Avenue,"Philadelphia, PA 19146",(215) 545-9188,yrsupply.com/,facebook.com/pages/Philadelphia-PA/YR-SUPPLY/475526165654,,Construction / Contractor Supply,,,,,X,,,1551 Washington Avenue,"Philadelphia, PA 19146",yrsupply.com/,,,,"Automotive, Contractors & Construction Materials",","
C&R Building Supply,,1600,Washington Avenue,"Philadelphia, PA 19146",(215) 462-0505,candrbuildingsupply.com/,facebook.com/CAndRBuildingSupply/,,Construction / Contractor Supply,,,,,X,,,1600 Washington Avenue,"Philadelphia, PA 19146",candrbuildingsupply.com/,,,,"Automotive, Contractors & Construction Materials",","
SHERWIN WILLIAMS CO,,1705,Washington Avenue,"Philadelphia, PA 19146",(215) 735-0300,sherwin-williams.com/store-locator/commercial-paint-store/philadelphia/pa/3735?utm_source=google&utm_medium=local_listing&utm_campaign=tag_local_listing,facebook.com/SherwinWilliamsforYourHome?ref=hl,instagram.com/sherwinwilliams/,Construction / Contractor Supply,,,,,X,,,1705 Washington Avenue,"Philadelphia, PA 19146",sherwin-williams.com/store-locator/commercial-paint-store/philadelphia/pa/3735?utm_source=google&utm_medium=local_listing&utm_campaign=tag_local_listing,,,,"Automotive, Contractors & Construction Materials",","
Quality's Home Center,,1803,Washington Avenue,"Philadelphia, PA 19146",(215) 545-3555,qualityshomecenter.com/,facebook.com/Qualitys-Home-Center-1397221967190130/,,Construction / Contractor Supply,,,,,X,,,1803 Washington Avenue,"Philadelphia, PA 19146",qualityshomecenter.com/,,,,"Automotive, Contractors & Construction Materials",","
FERGUSON ENTERPRISES INC,,1821,Washington Avenue,"Philadelphia, PA 19146",(215) 790-8504,ferguson.com/branch/washington-ave-philadelphia-pa-plumbing,facebook.com/FergusonShowrooms,,Construction / Contractor Supply,,,,,X,,,1821 Washington Avenue,"Philadelphia, PA 19146",ferguson.com/branch/washington-ave-philadelphia-pa-plumbing,,,,"Automotive, Contractors & Construction Materials",","
Smart Choice Kitchen & Bath Design,,1900,Washington Avenue,"Philadelphia, PA 19146",(267) 758-5563,smartchoicekitchenandgranite.com/,facebook.com/Smart-Choice-Kitchen-Granite-1626443267589654/,,Construction / Contractor Supply,,,,,X,,,1900 Washington Avenue,"Philadelphia, PA 19146",smartchoicekitchenandgranite.com/,,,,"Automotive, Contractors & Construction Materials",","
BILLOWS ELECTRICAL SUPPLY COMPANY INC,,1900,Washington Avenue,"Philadelphia, PA 19146",(215) 531-5900,billows.com/,facebook.com/pages/Billows-Electric-Supply/196017656441,,Construction / Contractor Supply,,,,,X,,,1900 Washington Avenue,"Philadelphia, PA 19146",billows.com/,,,,"Automotive, Contractors & Construction Materials",","
YD Hardwood Floors,,1900,Washington Avenue,"Philadelphia, PA 19146",(215) 309-8125,floorcontractorsphiladelphia.com/,facebook.com/ydhardwood/,,Construction / Contractor Supply,,,,,X,,,1900 Washington Avenue,"Philadelphia, PA 19146",floorcontractorsphiladelphia.com/,,,,"Automotive, Contractors & Construction Materials",","
Paul Design Center,,1901,Washington Avenue,"Philadelphia, PA 19146",(267) 388-4556,facebook.com/pauldesigncenter,,,Construction / Contractor Supply,,,,,X,,,1901 Washington Avenue,"Philadelphia, PA 19146",facebook.com/pauldesigncenter,,,,"Automotive, Contractors & Construction Materials",","
A & A INTERNATIONAL TRADING INC,,1913,Washington Avenue,"Philadelphia, PA 19146",(215) 735-4334,,,,Construction / Contractor Supply,,,,,X,,,1913 Washington Avenue,"Philadelphia, PA 19146",,,,,"Automotive, Contractors & Construction Materials",","
ROMA ALUMINUM CO INC,,1924,Washington Avenue,"Philadelphia, PA 19146",(215) 545-5700,romatherm.com/,facebook.com/pages/Roma-Aluminum/155692171134848,,Construction / Contractor Supply,,,,,X,,,1924 Washington Avenue,"Philadelphia, PA 19146",romatherm.com/,,,,"Automotive, Contractors & Construction Materials",","
New Stars PA LLC,,1935,Washington Avenue,"Philadelphia, PA 19146",(267) 930-3682,newstarsspa.com/pages/showroom-4,facebook.com/newstarspafurniturecorp/,,Construction / Contractor Supply,,,,,X,,,1935 Washington Avenue,"Philadelphia, PA 19146",newstarsspa.com/pages/showroom-4,,,,"Automotive, Contractors & Construction Materials",","
Colonial Marble,,2000,Washington Avenue,"Philadelphia, PA 19146",(215) 732-7800,colonialmarble.net/,facebook.com/ColonialMarbleandGranite/,,Construction / Contractor Supply,,,,,X,,,2000 Washington Avenue,"Philadelphia, PA 19146",colonialmarble.net/,,,,"Automotive, Contractors & Construction Materials",","
ProBuild - Home & Garden,,2001,Washington Avenue,"Philadelphia, PA 19146",(215) 893-8645,bldr.com/probuild,,,Construction / Contractor Supply,,,,,X,,,2001 Washington Avenue,"Philadelphia, PA 19146",bldr.com/probuild,,,,"Automotive, Contractors & Construction Materials",","
Cava Building Supply,,2007,Washington Avenue,"Philadelphia, PA 19146",(215) 732-0907,cavabuilding.com/,facebook.com/CavaBuildingSupply/,,Construction / Contractor Supply,,,,,X,,,2007 Washington Avenue,"Philadelphia, PA 19146",cavabuilding.com/,,,,"Automotive, Contractors & Construction Materials",","
Philly Home Supply,,2035,Washington Avenue,"Philadelphia, PA 19146",(215) 462-5555,phillyhomesupply.com/,facebook.com/phillyhomesupply,,Construction / Contractor Supply,,,,,X,,,2035 Washington Avenue,"Philadelphia, PA 19146",phillyhomesupply.com/,,,,"Automotive, Contractors & Construction Materials",","
IVAN SUPPLY CO LLC,,2100,Washington Avenue,"Philadelphia, PA 19146",(215) 546-5440,alliedbuilding.com/Branches/PA/PhiladelphiaIVAN-WashingtonAve_,facebook.com/AlliedBuildingProducts,instagram.com/allied_building_products?ref=badge,Construction / Contractor Supply,,,,,X,,,2100 Washington Avenue,"Philadelphia, PA 19146",alliedbuilding.com/Branches/PA/PhiladelphiaIVAN-WashingtonAve_,,,,"Automotive, Contractors & Construction Materials",","
MTO Bath & Tile,,2112,Washington Avenue,"Philadelphia, PA 19146",(215) 545-3005,mtobathandtile.com/,facebook.com/mtobathandtile/,,Construction / Contractor Supply,,,,,X,,,2112 Washington Avenue,"Philadelphia, PA 19146",mtobathandtile.com/,,,,"Automotive, Contractors & Construction Materials",","
VIP BUILDING SUPPLY LLC,,2202,Washington Avenue,"Philadelphia, PA 19146",(215) 735-8882,,facebook.com/pages/category/Cabinet---Countertop-Store/VIP-Kitchen-Cabinets-147106955418732/,,Construction / Contractor Supply,,,,,X,,,2202 Washington Avenue,"Philadelphia, PA 19146",facebook.com/pages/category/Cabinet---Countertop-Store/VIP-Kitchen-Cabinets-147106955418732/,,,,"Automotive, Contractors & Construction Materials",","
US Nails & Beauty Supplies,,2301,Washington Avenue,"Philadelphia, PA 19146",(215) 732-0801,,,,Construction / Contractor Supply,,,,,X,,,2301 Washington Avenue,"Philadelphia, PA 19146",,,,,"Automotive, Contractors & Construction Materials",","
Expert Roofing Supply,,2301,Washington Avenue,"Philadelphia, PA 19146",(267) 687-2701,,facebook.com/expertroofingsupply,,Construction / Contractor Supply,,,,,X,,,2301 Washington Avenue,"Philadelphia, PA 19146",facebook.com/expertroofingsupply,,,,"Automotive, Contractors & Construction Materials",","
WASHINGTON BROTHER IMPORT EXPORT LLC,,2301,Washington Avenue,"Philadelphia, PA 19146",(215) 545-0199,washington-brothers-import.business.site/,facebook.com/Washington-Brother-147945185344323/?rf=691667084272824,,Construction / Contractor Supply,,,,,X,,,2301 Washington Avenue,"Philadelphia, PA 19146",washington-brothers-import.business.site/,,,,"Automotive, Contractors & Construction Materials",","
Choice Beer Deli,,1642,South Street,"Philadelphia, PA 19146",(267) 758-5734,choice-beer-deli.business.site/,facebook.com/Choice-Beer-Deli-2025899040984964/?ref=br_rs,,Convenience Store / Deli,,X,,,,,,1642 South Street,"Philadelphia, PA 19146",choice-beer-deli.business.site/,,,,Stores & Shopping,","
7-ELEVEN INC,,1701,South Street,"Philadelphia, PA 19146",(215) 545-0515,7-eleven.com/locations/pa/philadelphia/1701-south-st-36006,facebook.com/7Eleven,instagram.com/7eleven/,Convenience Store / Deli,,X,,,,,,1701 South Street,"Philadelphia, PA 19146",7-eleven.com/locations/pa/philadelphia/1701-south-st-36006,,,,Stores & Shopping,","
Wawa,,2131,South Street,"Philadelphia, PA 19146",(267) 538-1149,wawa.com,facebook.com/wawa,instagram.com/wawa,Convenience Store / Deli,,X,,,,,,2131 South Street,"Philadelphia, PA 19146",wawa.com,,,,Stores & Shopping,","
Philly Dance Fitness,,1624,South Street,"Philadelphia, PA 19146",(215) 645-2717,phillydancefitness.com/,facebook.com/phillydancefitness,,Dance Studio / Wellness,,,X,,,,,1624 South Street,"Philadelphia, PA 19146",phillydancefitness.com/,,,,"Medical, Health, Wellness & Fitness",","
Universal Companies,,800,S 15th Street,"Philadelphia, PA 19146",(215) 732-6518,universalcompanies.org/,facebook.com/UniversalPhiladelphia/,instagram.com/universalphiladelphia/,Developer,,,,,X,,,800 S 15th Street,"Philadelphia, PA 19146",universalcompanies.org/,,,,"Automotive, Contractors & Construction Materials",","
Eco Cleaners,,2300,Christian Street,"Philadelphia, PA 19146",(215) 309-5500,,facebook.com/ecophilly/,,Dry Cleaner / Laundromat,,,,,,,X,2300 Christian Street,"Philadelphia, PA 19146",facebook.com/ecophilly/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Sung Cleaners,,1635,South Street,"Philadelphia, PA 19146",(215) 545-4344,,,,Dry Cleaner / Laundromat,,,,,,,X,1635 South Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Hellen's Cleaners,,2000,South Street,"Philadelphia, PA 19146",(215) 545-8888,helencleaner.com/,helencleaner.com/#,helencleaner.com/#,Dry Cleaner / Laundromat,,,,,,,X,2000 South Street,"Philadelphia, PA 19146",helencleaner.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
RIMS One Hour Cleaners,,2203,South Street,"Philadelphia, PA 19146",(215) 546-1889,,,,Dry Cleaning,,,,,,,X,2203 South Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Mighty Writers South,,1501,Christian Street,"Philadelphia, PA 19146",(267) 239-0899,mightywriters.org/,,,Educational,,X,,,,,X,1501 Christian Street,"Philadelphia, PA 19146",mightywriters.org/,,,,Stores & Shopping,","
Baby Wordplay Little Theater,,2227,Grays Ferry Avenue,"Philadelphia, PA 19146",(215) 668-7343,babywordplay.com/,facebook.com/BabyWordplay,instagram.com/babywordplay,Entertainment,,,,X,,,,2227 Grays Ferry Avenue,"Philadelphia, PA 19146",babywordplay.com/,,,,Arts & Entertainment,","
Philadelphia Clef Club of Jazz and Performing Arts,,738,S Broad Street,"Philadelphia, PA 19146",(215) 893-9912,clefclubofjazz.org/,facebook.com/ClefClub,,Entertainment,,,,X,,,,738 S Broad Street,"Philadelphia, PA 19146",clefclubofjazz.org/,,,,Arts & Entertainment,","
BURY THE HATCHET PENNSYLVANIA LLC,,1719,Washington Avenue,"Philadelphia, PA 19146",(215) 438-7999,burythehatchet.com/axe-throwing-philadelphia,facebook.com/burythehatchetpa/,instagram.com/burythehatchetph/,Entertainment,,,,X,,,,1719 Washington Avenue,"Philadelphia, PA 19146",burythehatchet.com/axe-throwing-philadelphia,,,,Arts & Entertainment,","
The Bainbridge Club,,1529,Bainbridge Street,"Philadelphia, PA 19146",(215) 985-1122,hotelbrotherhoodusa.wordpress.com/,facebook.com/pages/category/Performance---Event-Venue/The-Bainbridge-Club-178972522148180/,,Event Hall,,X,,X,,,,1529 Bainbridge Street,"Philadelphia, PA 19146",hotelbrotherhoodusa.wordpress.com/,,,,Stores & Shopping,","
Chabad Young Philly,,1432,Catharine Street,"Philadelphia, PA 19146",(215) 593-8264,chabadyoungphilly.org,facebook.com/chabadyoungphilly,,Event Hall,,X,,X,,,,1432 Catharine Street,"Philadelphia, PA 19146",chabadyoungphilly.org,,,,Stores & Shopping,","
Vinocity Events,,1814,Kater Street,"Philadelphia, PA 19146",(609) 506-7512,vinocityevents.com/,facebook.com/vinocityevents,,Event Planning,,X,,X,,,,1814 Kater Street,"Philadelphia, PA 19146",vinocityevents.com/,,,,Stores & Shopping,","
Revel Ride,,1632,South Street,"Philadelphia, PA 19146",(215) 515-3755,revel-ride.com/,facebook.com/RevelRide/,instagram.com/revel_ride/,Fitness,,,X,,,,,1632 South Street,"Philadelphia, PA 19146",revel-ride.com/,,,,"Medical, Health, Wellness & Fitness",","
Popeyes Louisiana Kitchen,,800,S Broad Street,"Philadelphia, PA 19146",(215) 772-1120,locations.popeyes.com/pa/philadelphia/5986/,facebook.com/PopeyesLouisianaKitchen,instagram.com/popeyeslouisianakitchen,Food,X,,,,,,,800 S Broad Street,"Philadelphia, PA 19146",locations.popeyes.com/pa/philadelphia/5986/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
McDonald's,,914,S Broad Street,"Philadelphia, PA 19146",(215) 545-7440,mcdonalds.com/us/en-us/location/pa/philadelphia/914-s-broad-st/23433.html?cid=RF:YXT:GMB::Clicks,facebook.com/McDonaldsUS,instagram.com/McDonalds,Food,X,,,,,,,914 S Broad Street,"Philadelphia, PA 19146",mcdonalds.com/us/en-us/location/pa/philadelphia/914-s-broad-st/23433.html?cid=RF:YXT:GMB::Clicks,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Chipotle,,1000,S Broad Street,"Philadelphia, PA 19146",,chipotle.com/,facebook.com/chipotle,instagram.com/chipotle/,Food,X,,,,,,,1000 S Broad Street,"Philadelphia, PA 19146",chipotle.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Starbucks,,1002,S Broad Street,"Philadelphia, PA 19146",(215) 545-1420,starbucks.com/store-locator/store/1024301,facebook.com/starbucks,instagram.com/starbucks/,Food (Coffee),X,,,,,,,1002 S Broad Street,"Philadelphia, PA 19146",starbucks.com/store-locator/store/1024301,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Dunkin',,1551,Washington Avenue,"Philadelphia, PA 19146",(215) 735-0158,dunkindonuts.com,facebook.com/DunkinUS/,instagram.com/dunkin/?hl=en,Food (Coffee),X,,,,,,,1551 Washington Avenue,"Philadelphia, PA 19146",dunkindonuts.com,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
South Square Market,,2221,South Street,"Philadelphia, PA 19146",(215) 545-4349,ssqmarket.com/,facebook.com/SouthSquareMarket/,,Food Store,X,,,,,,,2221 South Street,"Philadelphia, PA 19146",ssqmarket.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Reyes Grocery,,924,S 20th Street,"Philadelphia, PA 19146",(215) 545-1244,,,,Grocery Store,X,,,,,,,924 S 20th Street,"Philadelphia, PA 19146",,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Kennedy Grocery,,725,S 22nd Street,"Philadelphia, PA 19146",,,,,Grocery Store,X,,,,,,,725 S 22nd Street,"Philadelphia, PA 19146",,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Giant Heirloom Market,,2303,Bainbridge Street,"Philadelphia, PA 19146",(215) 875-8305,heirloommarket.com/,facebook.com/HeirloombyGiant/,,Grocery Store / Convenience Store / Deli,X,,,,,,,2303 Bainbridge Street,"Philadelphia, PA 19146",heirloommarket.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Nunez Deli & Grocery,,1544,Christian Street,"Philadelphia, PA 19146",(215) 772-1106,,,,Grocery Store / Convenience Store / Deli,X,,,,,,,1544 Christian Street,"Philadelphia, PA 19146",,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Green Aisle Grocery,,2241,Grays Ferry Avenue,"Philadelphia, PA 19146",(267) 687-2398,greenaislegrocery.com/,facebook.com/GreenAisleGrocery/?ref=br_rs,instagram.com/greenaisle,Grocery Store / Convenience Store / Deli,X,,,,,,,2241 Grays Ferry Avenue,"Philadelphia, PA 19146",greenaislegrocery.com/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Sprouts Farmers Market,,1000,S Broad Street,"Philadelphia, PA 19146",(215) 606-2400,sprouts.com/store/pa/philadelphia/philadelphia/,facebook.com/SproutsFarmersMarket,instagram.com/sprouts/,Grocery Store / Convenience Store / Deli,X,,,,,,,1000 S Broad Street,"Philadelphia, PA 19146",sprouts.com/store/pa/philadelphia/philadelphia/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
SOUTH DELI AND GROCERY,,1739,South Street,"Philadelphia, PA 19146",(215) 546-1580,,,,Grocery Store / Convenience Store / Deli,X,,,,,,,1739 South Street,"Philadelphia, PA 19146",,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Free House Fitness Studio,,1430,South Street,"Philadelphia, PA 19146",(215) 581-7384,freehousefitness.com/,facebook.com/freehousefitness/,instagram.com/freehousefitness/,Gym / Physical Fitness,,,X,,,,,1430 South Street,"Philadelphia, PA 19146",freehousefitness.com/,,,,"Medical, Health, Wellness & Fitness",","
Bobby Mack Hair,,1944,South Street,"Philadelphia, PA 19146",(215) 309-3769,bobbymackhair.com/,facebook.com/Bobbymackhair,instagram.com/bobbymackhair,Hair Dresser,,,,,,X,,1944 South Street,"Philadelphia, PA 19146",bobbymackhair.com/,,,,Hair & Nails,","
Modify: The Hair Art Studio,,1701,Christian Street,"Philadelphia, PA 19146",(215) 545-5505,modifythehairartstudio.com/,facebook.com/100006936674198,instagram.com/modifyhairphilly/,Hair Salon,,,,,,X,,1701 Christian Street,"Philadelphia, PA 19146",modifythehairartstudio.com/,,,,Hair & Nails,","
Barbershop Denim,,1517,South Street,"Philadelphia, PA 19146",(267) 930-3980,barbershopdenim.me/,facebook.com/barbershopdenim/,,Hair Salon,,,,,,X,,1517 South Street,"Philadelphia, PA 19146",barbershopdenim.me/,,,,Hair & Nails,","
Cynergy Hair Studio,,1527,South Street,"Philadelphia, PA 19146",(267) 930-7645,cynergyhairstudio.com,facebook.com/Cynergy-Hair-Studio-250039311867391/?fref=ts,instagram.com/cynergyhair,Hair Salon,,,,,,X,,1527 South Street,"Philadelphia, PA 19146",cynergyhairstudio.com,,,,Hair & Nails,","
Hair 4 U,,1606,South Street,"Philadelphia, PA 19146",(215) 546-9040,hair4uonline.com/Hair_4_U/Welcome.html,facebook.com/Hair-4-U-314174262736/?ref=br_rs,,Hair Salon,,,,,,X,,1606 South Street,"Philadelphia, PA 19146",hair4uonline.com/Hair_4_U/Welcome.html,,,,Hair & Nails,","
Indique Virgin Hair Extensions,,1607,South Street,"Philadelphia, PA 19146",(215) 735-6010,indiquehair.com/philadelphia.html,facebook.com/IndiqueHair,instagram.com/iloveindique,Hair Salon,,,,,,X,,1607 South Street,"Philadelphia, PA 19146",indiquehair.com/philadelphia.html,,,,Hair & Nails,","
